District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
148,uttar pradesh,mainpuri,1868529,993377,875152,712110,491775,1203885,1193660,402321,265638,6910,16.1,8.4,10.2,9.7,3.3,14.4,13.7,3.3,17.9,2.9,41.3,26443.28571,233
149,uttar pradesh,budaun,3681896,1967759,1714137,986501,560976,1547477,2436051,748408,424194,73243,13.6,9,10.9,8.6,3.4,13,10.3,3.1,13.8,7.1,41.9,57415.28571,357
150,uttar pradesh,bareilly,4448359,2357665,2090694,1342697,849062,2191759,2893965,952233,514141,88020,18.7,9.7,11.8,10.9,4.2,16.4,12,4.7,17.6,5.5,39.3,82115.28571,393
151,uttar pradesh,pilibhit,2031007,1072002,959005,654290,406805,1061095,1320476,449673,256276,4582,21.4,10.8,13.3,11.8,5.5,19.5,11.4,5.4,17.5,4.9,38.2,38101.71429,211
152,uttar pradesh,shahjahanpur,3006538,1606403,1400135,915142,575788,1490930,1961237,652237,368743,24321,14.2,9.1,6.7,11.2,4.1,16.1,11.1,3,14.5,6.6,49,54790.71429,267
153,uttar pradesh,kheri,4021243,2123187,1898056,1237157,796887,2034044,2582597,896611,510832,31203,22,8.7,9.4,12.8,5.7,20.1,16.7,5.2,22.4,14.8,55.2,53747.71429,415
154,uttar pradesh,sitapur,4483992,2375264,2108728,1397702,886031,2283733,2862383,1000987,588318,32304,23.2,7.9,9.7,11.4,5.5,17.8,16.1,5.7,23,13.8,59.7,56487.71429,506
155,uttar pradesh,hardoi,4092845,2191442,1901403,1374587,847014,2221601,2598364,905306,559988,29187,16,8,9.8,11.9,4.4,18.1,14.9,4.3,19.9,6.5,52.1,52435.57143,435
156,uttar pradesh,unnao,3108367,1630087,1478280,1053063,720521,1773584,1893706,706851,453462,54348,15.3,9.7,9.2,13.5,5.7,22,15.7,4,21.4,9.5,50.9,47861.28571,367
157,uttar pradesh,lucknow,4589838,2394476,2195362,1742440,1384820,3127260,2678289,1161686,685258,64605,15.8,14.7,16.5,12.4,6.4,21.2,15.2,6,22.8,7.7,39.2,210012.7143,248
158,uttar pradesh,rae bareli,3405559,1752542,1653017,1165965,799878,1965843,2116007,776583,506583,6386,16.8,8.3,7.4,11.3,5.9,19.4,11.8,4.8,17.9,11.8,50.4,49773.42857,294
159,uttar pradesh,farrukhabad,1885204,1006240,878964,654827,437850,1092677,1224584,411153,246795,2672,13.5,6.7,7.1,9.1,3.4,13.8,12.1,1.9,14.8,6.4,49,29356.14286,201
160,uttar pradesh,kannauj,1656616,881776,774840,603596,413491,1017087,1069916,361028,223535,2137,15.3,7.3,6.9,8.9,3.2,14.9,10.8,2.2,14.4,8.7,50.9,7393.857143,195
161,uttar pradesh,etawah,1581810,845856,735954,623583,438420,1062003,979633,362026,237786,2365,17.9,8.9,10.2,11.8,3.9,16.7,15.4,3.4,19.7,5.2,45.5,28774.57143,187
162,uttar pradesh,auraiya,1379545,740040,639505,546198,384638,930836,856336,320763,202054,392,18.4,6.9,7,14.1,5.1,20,16.8,5,22.1,9.3,46.8,,144
163,uttar pradesh,kanpur dehat,1796184,963255,832929,692964,477279,1170243,1100820,415918,276272,3174,17.9,7.6,9.9,7.2,3.7,12.6,11.4,4.2,16.5,10.2,50.5,,235
164,uttar pradesh,kanpur nagar,4581268,2459806,2121462,1829179,1413843,3243022,2630411,1209554,731795,9508,16.1,10.8,8.3,10.1,4.4,17.3,11.7,2.8,16.2,9.5,46.8,,404
165,uttar pradesh,jalaun,1689974,906092,783882,653430,421766,1075196,1002817,410090,274954,2113,17.6,5.2,6,11.5,3.6,16.8,14.7,4.1,20,13.4,49.9,27382.14286,300
166,uttar pradesh,jhansi,1998603,1057436,941167,783705,520808,1304513,1171301,510728,308331,8243,11.4,5.3,9,11.7,2.4,15.7,12.7,3.9,17.3,10.1,49.5,57957.85714,302
167,uttar pradesh,lalitpur,1221592,641011,580581,397586,243605,641191,793551,265080,159666,3295,11.7,4.7,6.3,10.7,4.7,17.2,13.2,3.6,17.9,5.5,54.5,,217
169,uttar pradesh,mahoba,875958,466358,409600,302283,185823,488106,527067,201394,137393,10104,18.2,12,13.3,11.3,5.2,19.6,16.7,6,24.9,5.9,47.8,,161
170,uttar pradesh,banda,1799410,965876,833534,630626,372311,1002937,1120432,408527,265310,5141,13.3,11.5,13.1,12.5,4.6,20.1,12.7,4.4,18.9,19.7,63.3,23819.14286,259
171,uttar pradesh,chitrakoot,991730,527721,464009,330339,200733,531072,638046,214228,136669,2787,17.4,5.1,9.1,8.4,3.1,15.1,10.3,3,16.4,12.7,59.6,,156
172,uttar pradesh,fatehpur,2632733,1384722,1248011,911003,601163,1512166,1624830,603831,395547,8525,16.8,5.7,8.8,10.5,4.3,17,13.3,3.4,18,20.8,60.8,35656.85714,340
174,uttar pradesh,kaushambi,1599596,838485,761111,507279,306145,813424,1034099,336401,210556,18540,20.2,11.7,15.5,5,3.4,9.4,6.7,2.8,10,14.9,53.6,,167
175,uttar pradesh,prayagraj,5954391,3131807,2822584,2199340,1466387,3665727,3764404,1335224,818137,36626,20.6,13.4,15.7,7.9,3.1,12.6,11.9,4.3,17.7,11.9,44.6,,
176,uttar pradesh,bara banki,3260699,1707073,1553626,1010518,681940,1692458,2043335,709494,445269,62601,14.6,9.4,12,11.1,6,19.1,14.8,6.6,22.7,11.2,50.2,43694.57143,329
177,uttar pradesh,faizabad,2470996,1259628,1211368,838339,612562,1450901,1534832,543148,367332,25684,19.8,17,20.6,8.9,4,14.9,10.3,4.4,17.7,8.7,41.2,39592.57143,293
178,uttar pradesh,ambedkar nagar,2397888,1212410,1185478,846676,640263,1486939,1499494,515229,367234,15931,23,14.6,18.4,9.1,5.6,17.2,13.6,6.9,22,12.8,52.9,,257
179,uttar pradesh,sultanpur,3797117,1914586,1882531,1300248,939654,2239902,2376875,828222,580164,11856,20.7,13.5,16.7,13,5.8,20.6,16.4,6.7,24.3,14.2,47.5,56869,416
180,uttar pradesh,bahraich,3487731,1843884,1643847,878285,520083,1398368,2275746,754346,446242,11397,10.1,6.1,8.6,13.4,7.4,24.2,18.1,8.5,28.7,26.6,59,36483.28571,158
181,uttar pradesh,shrawasti,1117361,593897,523464,276700,146613,423313,723443,245098,143979,4841,13.5,8.1,9.7,9.8,4.6,18.4,13.1,3.5,18.7,24.2,64.2,,126
182,uttar pradesh,balrampur,2148665,1114721,1033944,544943,323414,868357,1415213,442339,283947,7166,62.3,7.9,11.2,15.5,9.2,25.2,20.3,10,31.2,21.4,53.2,36122.14286,216
183,uttar pradesh,gonda,3433919,1787146,1646773,1034181,645813,1679994,2223078,734903,464584,11354,13.4,8.7,12.4,12.2,6.1,22.9,17.5,7.5,28.6,18,51.6,44964.85714,360
184,uttar pradesh,siddharthnagar,2559297,1295095,1264202,740718,488208,1228926,1690396,504002,359977,4922,12.2,9.5,11.7,11.8,5.3,19.1,14,7.4,23.5,14.6,54.9,,220
185,uttar pradesh,basti,2464464,1255272,1209192,819719,574064,1393783,1574037,519265,363891,7271,15.8,10,11.6,11.2,6,19.2,16.2,7.6,25,10.2,51.3,35955.57143,297
186,uttar pradesh,sant kabir nagar,1715183,869656,845527,567098,387851,954949,1108368,352395,250502,3918,20.4,8.7,10.2,13,5.7,22.5,18,7.3,28.2,9.9,51.9,,161
187,uttar pradesh,mahrajganj,2684703,1381754,1302949,881674,537470,1419144,1694493,595114,370573,24523,16.2,5.9,6.3,10.9,3.2,15,11.8,2.7,15.7,13.2,63.3,,287
188,uttar pradesh,gorakhpur,4440895,2277777,2163118,1593890,1106438,2700328,2755630,992114,659677,33474,17.9,13.8,11.7,10.2,4.6,16.8,13.4,6.1,20.7,5.4,44.6,78715.28571,512
189,uttar pradesh,kushinagar,3564544,1818055,1746489,1183722,771098,1954820,2236842,772777,500373,54552,15.6,10.6,12.6,9.3,4.6,16.4,13.3,6.4,21.9,4.3,45.1,,293
190,uttar pradesh,deoria,3100946,1537436,1563510,1079288,795951,1875239,1946336,664708,481219,8683,10.5,9.6,12.6,10.3,5.8,17.6,13,5.8,21,2.3,36.9,42721.28571,352
191,uttar pradesh,azamgarh,4613913,2285004,2328909,1559414,1212503,2771917,2930243,965876,699954,17840,9,14.2,17.1,12,5.4,19.4,18.8,8.1,28.7,9.4,44.1,69052.57143,556
192,uttar pradesh,mau,2205968,1114709,1091259,773082,589962,1363044,1402738,467343,323260,12627,16,11.6,12.7,16.3,5.2,23.9,20.8,7.9,29.9,6.4,39.3,,263
193,uttar pradesh,ballia,3239774,1672902,1566872,1160960,802630,1963590,1975934,724362,502628,36850,10.6,12.2,14,10.6,3.8,17.1,15.2,3.2,20.7,2.2,35.6,42508,365
194,uttar pradesh,jaunpur,4494204,2220465,2273739,1565394,1166283,2731677,2826453,927026,689979,50746,12,8,9.6,10.2,3.8,16,13.6,5,19.7,5.8,43.8,57513,505
195,uttar pradesh,ghazipur,3620268,1855075,1765193,1293553,903996,2197549,2234593,774130,556273,55272,10.6,8.7,13.3,9.1,3,14.2,15.7,3.5,20.3,4.4,37.7,47380,381
196,uttar pradesh,chandauli,1952756,1017905,934851,699454,475152,1174606,1222695,437000,287767,5294,28.1,10.3,11.2,11.5,5.8,18.9,15.6,6.3,23.6,7.1,44.8,,247
197,uttar pradesh,varanasi,3676841,1921857,1754984,1389116,1014787,2403903,2260457,856070,531549,28765,12.8,9.3,12.6,13.3,3.9,19,20.9,5.6,27.1,5.5,38.4,111810.8571,293
198,uttar pradesh,sant ravidas nagar (bhadohi),1578213,807099,771114,546782,363364,910146,1032294,331743,209920,4256,18.8,8.7,13.2,9.3,4.1,14.9,15.9,5.4,23,7.4,36.5,,159
199,uttar pradesh,mirzapur,2496970,1312302,1184668,865837,562846,1428683,1590528,552177,346773,7492,15,9.4,11.3,13.7,6.3,21.7,18.6,8.1,29,5.4,42.2,35865.71429,295
200,uttar pradesh,sonbhadra,1862559,971344,891215,601988,383720,985708,1203938,418914,237866,1841,19.7,7.9,11.3,12.9,5,19,16.8,4,21.4,5.8,54.1,,151
201,uttar pradesh,etah,1774480,947339,827141,647042,408160,1055202,1149372,383707,237427,3974,12.8,6.2,7.6,11.2,3.6,16.4,14.2,4.4,19.2,5,46,23277.28571,287
202,uttar pradesh,kanshiram nagar,1436719,764165,672554,452803,272047,724850,946320,301252,183434,5713,15.1,6.7,10.3,9.3,4.8,16.5,12.8,5.8,19.5,6.9,44.7,,320
203,bihar,pashchim champaran,3935042,2061110,1873932,1091226,668255,1759481,2544205,888205,497793,4839,20,9.3,13.4,11.3,5.1,18.1,12.3,7.8,22.6,5.9,48.1,,217
204,bihar,purba champaran,5099371,2681209,2418162,1407603,869354,2276957,3316422,1122340,648009,12600,19.4,10.8,16.4,9.1,4,16.2,13.8,6.8,23.6,7.6,55.2,,433
205,bihar,sheohar,656246,346673,309573,171645,112053,283698,421241,139909,93398,1698,18.1,7.5,13.9,10.1,3.7,15.5,14.6,4.5,20.8,4.5,56.6,,19
206,bihar,sitamarhi,3423574,1803252,1620322,885188,551606,1436794,2206340,739982,449035,28217,20.7,12.3,14.6,9.9,4.3,17.8,10.8,4.8,17.9,6.4,55.4,,126
207,bihar,madhubani,4487379,2329313,2158066,1340085,815253,2155338,2860455,1009424,611899,5601,19.2,13.2,20,9.5,4.2,18.2,12.8,6.4,23.4,5,53.9,149841.8571,302
208,bihar,supaul,2229076,1155283,1073793,647672,385611,1033283,1453438,495020,277610,3008,14.2,12.7,15.6,6.3,2.5,11.6,8.8,3.1,14.1,11.4,53,,156
209,bihar,araria,2811569,1463333,1348236,727643,468125,1195768,1872943,612012,324091,2523,19.5,13.6,18.8,5,2.9,12.1,8.9,3.1,15.8,12.3,53.2,,180
210,bihar,kishanganj,1690400,866970,823430,439921,305135,745056,1139615,361114,188447,1224,8.1,11,17,8.5,3.6,17.4,12.4,5,22.7,11.6,50.4,,143
211,bihar,purnia,3264619,1699370,1565249,805261,527065,1332326,2155512,696556,372692,39859,10.2,16.5,21.4,8.2,2.7,18.7,11.9,3.5,22.5,6.2,47.3,37198.71429,191
212,bihar,katihar,3071029,1600430,1470599,762256,517934,1280190,2054202,660403,353483,2941,8.4,14.4,19.6,6,4,17,8.5,2.9,17.8,6.1,49.2,,232
213,bihar,madhepura,2001762,1047559,954203,517666,316911,834577,1311771,444235,242382,3374,9.5,15.4,16.9,5.3,1.9,10.4,7.6,2.8,14.5,7.9,53.2,71263.71429,125
214,bihar,saharsa,1900661,997174,903487,506374,298622,804996,1249692,415863,233870,1236,12.8,11.7,16.5,6.2,2.8,14.9,8.8,4.2,15.5,10.7,54.9,24281,165
215,bihar,darbhanga,3937385,2059949,1877436,1125566,691068,1816634,2535344,865971,529314,6756,25.3,13.5,19.3,9,3.7,17.5,13.7,6.3,23.5,5.6,55.1,45604.28571,269
216,bihar,muzaffarpur,4801062,2527497,2273565,1487117,1022115,2509232,3016735,1079189,697108,8030,13.2,12.4,16.4,9.8,5,18.1,14.1,6.9,24,7.2,51.5,66424,237
217,bihar,gopalganj,2562012,1267666,1294346,793905,589093,1382998,1642807,546202,370662,2341,12.7,10.5,10.1,11.7,5.1,20.3,16.3,5,22.8,5.2,47.8,,204
218,bihar,siwan,3330464,1675090,1655374,1115906,814269,1930175,2115448,713597,498299,3120,8.2,9,15.7,12.4,5.2,19.6,18.1,9.4,29.6,4.6,44.1,,335
219,bihar,saran,3951862,2022821,1929041,1285767,871687,2157454,2516115,847031,585386,3330,9.4,16.5,18.1,8.4,3.3,16.7,12.7,2.6,19.3,4.2,44,44464,262
220,bihar,vaishali,3495021,1844535,1650486,1152576,774164,1926740,2176701,759132,486032,73156,13.5,13.6,17.1,6,3.5,17.4,10.2,3.7,19.6,3.9,46.3,,210
221,bihar,samastipur,4261566,2230003,2031563,1293575,849305,2142880,2766930,913339,568812,12485,19,14.3,15.9,7.1,4.2,15.8,9.4,4.4,16.4,3.5,51.7,,310
222,bihar,begusarai,2970541,1567660,1402881,918507,630166,1548673,1951688,644874,369996,3983,13.2,13.2,15.8,7.1,2.4,13.9,9.7,3.1,17,4,49.6,,228
223,bihar,khagaria,1666886,883786,783100,461153,306875,768028,1114645,355531,195796,914,15.6,17.1,21.7,7.5,2.3,13,9.4,3.1,16.1,3.5,43.7,,156
224,bihar,bhagalpur,3037766,1615663,1422103,937669,635397,1573066,1952879,674660,397654,12573,16.3,15.6,16.3,7,3.2,13.3,8.8,3.1,14.7,2.4,47.3,47188.28571,285
225,bihar,banka,2034763,1067140,967623,590961,374360,965321,1291235,462080,278863,2585,13.6,13,16.9,10.6,4.8,17.4,12.4,5.4,18.8,1.8,49.4,23819.14286,259
226,bihar,munger,1367765,729041,638724,473741,328076,801817,860147,316713,188319,2586,15.2,19.5,21.8,9.8,3.5,16.1,10.6,3.9,18.3,2.5,40.9,21497,160
227,bihar,lakhisarai,1000912,526345,474567,305182,202088,507270,650642,218840,130655,775,15.1,12.8,17.8,6.6,3.4,12.3,9.3,2.1,13.8,2.4,45.4,,129
228,bihar,sheikhpura,636342,329743,306599,196431,132245,328676,413475,136898,85045,924,9.7,9.9,11.1,9.2,4.2,16.3,11.1,3.9,16.1,2.1,45,,71
229,bihar,nalanda,2877653,1497060,1380593,919558,600375,1519933,1829128,642197,403129,3199,12.8,11.1,13.6,8.2,3.3,13.4,9.3,3.6,14,2.8,49.8,124031.8571,448
230,bihar,patna,5838465,3078512,2759953,2028047,1431632,3459679,3626564,1382654,815638,13609,10.2,17.1,19.9,8.1,2.5,16.1,10,2.4,14.8,2.1,39.9,167656.7143,309
231,bihar,bhojpur,2728407,1430380,1298027,973486,625665,1599151,1722387,613072,387389,5559,9.6,14,17,8.3,2.7,13.9,10.3,1.8,14.5,2.4,43.7,,295
232,bihar,buxar,1706352,887977,818375,593544,396263,989807,1074754,375372,253998,2228,11.4,12.9,11.5,9.2,2.8,13.9,7.4,2,10.5,1.8,42.2,,171
233,bihar,kaimur (bhabua),1626384,847006,779378,549923,370353,920276,1039302,353413,226808,6861,18.1,6.9,10.3,7.9,3.3,12.3,10.4,3.7,15,2.8,50.8,,84
234,bihar,rohtas,2959918,1543546,1416372,1061783,738049,1799832,1875174,673742,407193,3809,17.2,10.3,13.5,10.5,3.9,15.2,10.3,4.6,16,1,40.6,61341.14286,290
235,bihar,aurangabad,2540073,1318684,1221389,868733,597269,1466002,1626969,564571,340948,7585,15.4,10.6,14.1,10.4,4.2,16.2,10.4,3.2,15.3,3.3,46.7,174412.4286,686
236,bihar,gaya,4391418,2266566,2124852,1368803,928810,2297613,2810026,936630,537333,107429,9.7,8.2,11.4,11.5,3.9,16.6,12.7,4.8,18.8,3.7,51.9,41458.42857,486
237,bihar,nawada,2219146,1144668,1074478,659474,431538,1091012,1440781,485628,288805,3932,8.1,9.4,11.7,8.8,3.8,14.5,11.9,5.3,18.5,2.9,47.9,,167
238,bihar,jamui,1760405,916064,844341,534385,324203,858588,1135919,392052,227016,5418,14.3,11.1,15.1,7.3,4.1,12.6,10.3,3,14.8,2.8,53.6,,214
239,bihar,jehanabad,1125313,585582,539731,374412,244469,618881,714244,254582,155106,1381,13.2,11.9,16,8.9,2.6,13.4,8,2.3,12,5.5,49.1,60943.28571,90
240,bihar,arwal,700843,363497,337346,235279,151072,386351,444448,156031,98550,1814,15.6,10.9,15.9,8.6,2.6,12.9,9,3.3,14,2.4,47.9,,98
241,sikkim,north  district,43709,24730,18979,18579,11871,30450,27099,11674,4887,49,24.5,11.6,16,22.3,13.1,39,25.1,19.5,47.7,9.9,35.4,,
242,sikkim,west district,136435,70238,66197,51988,41444,93432,84209,32520,19400,306,19.9,7.4,13.6,23,8.9,32.7,30.4,13.7,45.1,8.9,44.9,,
243,sikkim,south district,146850,76670,70180,59357,47384,106741,87982,37318,20982,568,20.8,12.5,17.6,19.6,15.8,41,29.7,16.1,49.6,15.8,47.4,,
244,sikkim,east district,283583,151432,132151,121345,92984,214329,165520,80354,37456,253,29.9,14.6,15.8,15.4,11,31.6,19.1,12,34.2,11.2,37.9,,
245,arunachal pradesh,tawang,49977,29151,20826,17720,8353,26073,30709,13849,5399,20,33.5,4.5,8.5,17.4,11.7,30.3,25.7,9.2,36.4,5.1,24,,108
246,arunachal pradesh,west kameng,83947,46155,37792,29566,18926,48492,53026,22362,8493,66,38.3,4.7,10,12.4,4.3,19.8,21.9,7,30.7,13.9,38.7,,
247,arunachal pradesh,east kameng,78690,38775,39915,21599,16850,38449,53752,17922,6960,56,25.1,8.9,13.9,14.1,4.4,19.5,22.2,6,29,24.9,48.2,,
248,arunachal pradesh,papum pare,176573,89182,87391,65794,55254,121048,120592,43812,11856,313,26.9,9.5,12.8,13.6,3.5,20.6,21.2,9.2,32.7,16.1,43.7,,
249,arunachal pradesh,upper subansiri,83448,41758,41690,24807,20471,45278,56054,20055,7230,109,21.5,6.6,10.6,17.7,5.9,25.4,25,10.5,37.5,19.8,55.3,,
250,arunachal pradesh,west siang,112274,58168,54106,36777,27969,64746,70415,28305,13469,85,26.6,9.1,11.2,23.3,8.5,32.7,29,11.3,41.1,16.9,44.3,,
251,arunachal pradesh,east siang,99214,50116,49098,34210,28366,62576,61993,25334,11802,85,30.5,9.5,12.7,18,8.5,29.7,26.3,10,38.1,24.7,51.3,,
252,arunachal pradesh,upper siang,35320,18699,16621,10723,7472,18195,21090,8910,5252,68,34.6,7.5,10.3,16,9.3,26.1,20.1,10.7,31.7,21.3,59.2,,
253,arunachal pradesh,changlang,148226,76948,71278,44027,29147,73174,96630,35018,16414,164,40.5,9.1,13.2,13.8,6.7,22.8,19.2,7,27.5,21.9,59.9,,
254,arunachal pradesh,tirap,111975,57604,54371,29313,18661,47974,71785,25669,14423,98,30.8,8.4,10.9,16.7,7.8,25.2,22.8,8.1,31.6,12.7,44.8,,
255,arunachal pradesh,lower subansiri,83030,41843,41187,29470,24587,54057,55258,20305,7412,55,24.5,9.1,14.2,17.1,7.6,25.7,25.2,10.4,36.6,18,46.7,,
256,arunachal pradesh,kurung kumey,92076,45318,46758,20258,16348,36606,64379,20713,6836,148,13.4,6.9,10.3,14,3.3,19.2,20.1,4.6,26,16.4,39.4,,
257,arunachal pradesh,dibang valley,8004,4414,3590,2614,1822,4436,5113,2088,786,17,28.7,9.4,12.2,20.6,10.6,32.2,28.8,15.5,45.4,20.3,55.4,,
258,arunachal pradesh,lower dibang valley,54080,28053,26027,18087,13762,31849,35140,13254,5652,34,36.8,8.9,13.2,16.7,8.1,25.6,24.8,12.6,38.1,20.6,52.1,,
259,arunachal pradesh,lohit,145726,76221,69505,48380,34682,83062,94890,35493,15195,148,31.9,9.5,9.1,14.8,4.9,22.1,17.4,7,26.6,17.8,53,,
260,arunachal pradesh,anjaw,21167,11507,9660,6523,3467,9990,13913,4755,2456,43,17.5,13,18.3,21.8,7.6,31.1,30.2,11.8,42.6,22.1,66.1,,
261,nagaland,mon,250260,131753,118507,67432,52194,119626,168773,53600,27437,450,39.3,9,13,13.1,7.1,20.4,25.3,10,35.7,6.9,52.4,,
262,nagaland,mokokchung,194622,101092,93530,83479,76015,159494,111243,52853,30363,163,22.3,8.6,10.1,14.7,7.9,23.2,21.6,6.9,28.9,22.2,53,,
263,nagaland,zunheboto,140757,71217,69540,53504,49377,102881,91709,32267,16730,51,18.1,11.1,9.9,22.5,10.5,33.2,29.2,11.8,41.2,8,48.9,,
264,nagaland,wokha,166343,84505,81838,67385,60823,128208,106951,40510,18811,71,20.6,12.2,18.8,16,7.6,24.3,23.2,12,35.7,12.9,50.4,,
265,nagaland,dimapur,378811,197394,181417,150142,127895,278037,243392,98601,36618,200,5.7,12,14.1,11,5.2,18.6,12,6.9,20.8,16.4,44,56487.71429,400
266,nagaland,phek,163418,83743,79675,57926,47967,105893,108514,37842,16969,93,24.9,9,13.4,14.8,10.3,25.9,21.1,12.2,33.8,9.9,45.5,,
267,nagaland,tuensang,196596,101933,94663,63653,53858,117511,134573,43210,18762,51,22,6.4,10.5,12.3,7.8,20.4,17.1,6.8,24.3,14.9,50.2,,
268,nagaland,longleng,50484,26502,23982,16139,13720,29859,33970,11210,5271,33,38.3,10.2,14.5,14.1,7.2,22.6,20.5,8.7,30,7.9,54,,
269,nagaland,kiphire,74004,37830,36174,22675,18557,41232,52699,14955,6309,41,8.8,7.8,11.7,10.2,4.1,15.3,15.3,5.2,22,10.1,44.2,,
270,nagaland,kohima,267988,138966,129022,107038,90451,197489,173701,68485,25557,245,26.7,6.6,9.9,15.2,9.8,25.7,19.8,11.2,31.1,14.4,47.9,,
271,nagaland,peren,95219,49714,45505,34584,27620,62204,64393,21597,9156,73,5.4,8,14.6,13.2,5.1,19.8,19.7,7.2,27.7,13.4,49.2,,
272,manipur,senapati,479148,247323,231825,148012,116465,264477,314439,111516,52008,1185,15.4,9.8,10.9,10.8,7.1,18.7,18,9.5,28.2,46.1,63.7,,
273,manipur,tamenglong,140651,72371,68280,47403,37603,85006,90273,33290,16924,164,16.8,11.7,12.7,15.7,4.9,21.5,21.1,7.5,29.4,17.2,52.2,,
274,manipur,churachandpur,274143,138820,135323,104013,91922,195935,168608,67802,37096,637,18.2,13.5,15.2,9.7,4.6,16.3,17,5.8,25.2,62.1,73.8,,
275,manipur,bishnupur,237399,118782,118617,87313,69020,156333,135220,62907,38815,457,9.3,13.4,15.8,13.9,5.3,23.6,18,8.6,31.3,48.8,60.2,,
276,manipur,thoubal,422168,210845,211323,152617,116687,269304,251975,107196,62060,937,19.1,10.6,12.9,13.8,6.5,23.2,20.4,10.5,33.4,47.9,58.5,,
277,manipur,imphal west,517992,255054,262938,205985,186641,392626,278940,148146,89394,1512,15.7,16.6,21.8,16.4,6.1,27.5,24.5,10.1,38.4,38,52.3,,
278,manipur,imphal east,456113,226094,230019,173314,151350,324664,261530,123439,70005,1139,7,15.9,18.5,11.9,4.9,21.9,21.6,9.8,36,39.6,53.5,,
279,manipur,ukhrul,183998,94718,89280,70148,59681,129829,113715,43646,25165,1472,17,7.9,11.7,13.3,7.6,22.3,17.3,7.1,25,32.9,69.1,,
280,manipur,chandel,144182,74579,69603,51053,39249,90302,86255,39324,18329,274,16.1,13.4,14.5,12.7,7.4,21.7,19.8,7.7,28.2,47.9,64.7,,
281,mizoram,mamit,86364,44828,41536,32977,27214,60191,55914,20082,10318,50,61.7,11.4,13.4,10.1,2.4,14.3,16.5,3.1,21,70.2,80.6,,
282,mizoram,kolasib,83955,42918,41037,34147,31748,65895,52147,20576,11167,65,61.1,15.7,13.8,10.3,4,16.5,16.9,5.7,24.3,70.6,75.3,,
283,mizoram,aizawl,400309,199270,201039,169547,171048,340595,235892,108094,56092,231,37.5,15.2,17.3,14.1,2.7,23.4,19.8,6.8,33.6,54.7,68.7,,
284,mizoram,champhai,125745,63388,62357,51440,49362,100802,78778,29690,17189,88,64.9,13.4,13.9,9.1,4.5,16.1,13.9,3.9,19.6,66.7,74.5,,197
285,mizoram,serchhip,64937,32851,32086,27598,26878,54476,39568,15894,9404,71,58.8,14.2,13.8,7.7,2.5,11.6,12.5,3.1,17.7,62.7,74.2,,
286,mizoram,lunglei,161428,82891,78537,64515,56607,121122,100250,39690,21424,64,46.5,13.5,17.1,7.7,3.6,13.9,12.7,5.2,20,62.8,75,,
287,mizoram,lawngtlai,117894,60599,57295,36444,26417,62861,80723,25303,11831,37,31.3,11.4,15.4,8.2,3.2,13,12.9,5.4,20.3,65.4,77.2,,
288,mizoram,saiha,56574,28594,27980,21861,20372,42233,37127,12784,6636,27,44.2,9.5,9.3,8.4,3.1,13,16.2,5.2,22.9,70,73.7,,
289,tripura,west tripura,1725739,879428,846311,722998,638356,1361354,940424,499719,284637,959,28.1,18.7,18.1,12.7,6.6,25.1,15.4,7.2,27.1,47.7,55.2,,12
290,tripura,south tripura,876001,447544,428457,351082,295728,646810,505558,236676,133424,343,37.3,18.2,20.4,11.4,4.9,22.4,14.5,4.6,24.2,51,54.3,,28
291,tripura,dhalai,378230,194544,183686,151643,124574,276217,232286,95548,50269,127,44.2,14.5,17,9,3.5,14.5,11.5,4,17.4,55.2,61.3,,66
292,tripura,north tripura,693947,352860,341087,275646,244756,520402,414878,178608,100274,187,28.7,18.3,22.9,9.8,4.5,18.8,10.3,5.2,19.3,52.5,64,,24
293,meghalaya,west garo hills,643291,324159,319132,193438,165264,358702,427629,143604,70599,1459,77.9,12.1,24.6,11.5,2.7,17.4,17.2,3.4,24.7,17.6,58.3,,
294,meghalaya,east garo hills,317917,161223,156694,102513,89634,192147,216742,70424,29926,825,71.9,9.3,16.2,8.5,2.9,15.3,16.4,4.4,23.2,6.3,54,,
295,meghalaya,south garo hills,142334,73170,69164,45003,37059,82062,97082,30605,14495,152,79.5,12.8,23.7,10.1,1.1,15.8,16.6,3.3,22.8,9.7,50.7,,
296,meghalaya,west khasi hills,383461,193715,189746,117307,113371,230678,278569,69988,33431,1473,60.1,5.6,7.6,9.1,4.8,16,11.8,3.8,16.4,50.2,73.3,,
297,meghalaya,ribhoi,258840,132531,126309,80977,74882,155859,183343,52945,22365,187,66.8,8,8.1,7.4,2,13.5,12.3,2.9,16,34.1,60.4,,
